*    Tilt catalog, tilts in arc-minutes.
*     For Calc 10.
*                     epoch     dir    tilt    dir    tilt  
* -------- --------  -------    ---   ------   ---   ------   -
  SC-VLBA  SC        2003.30    E-W    1.04    N-S    1.58   / 
  HN-VLBA  HN        2003.30    E-W    0.07    N-S    0.18   / 
  NL-VLBA  NL        2003.30    E-W    0.19    N-S    0.52   / 
  FD-VLBA  FD        2003.30    E-W    0.26    N-S    0.14   / 
  LA-VLBA  LA        2003.30    E-W    0.16    N-S    0.79   / 
  PIETOWN  PT        1988.666   E-W    0.14    N-S    0.19
                     1988.800   E-W    0.26    N-S    0.07
                     1988.855   E-W    0.21    N-S    0.02
                     1988.915   E-W    0.26    N-S    0.11
                     1988.937   E-W    0.30    N-S    0.10
                     1988.961   E-W    0.43    N-S   -0.05
                     1989.219   E-W    0.31    N-S   -0.05
                     1989.699   E-W    0.38    N-S   -0.02
                     1989.704   E-W    0.31    N-S   -0.05
                     1989.874   E-W    0.35    N-S   -0.10
                     1989.923   E-W    0.42    N-S    0.01
                     1989.948   E-W    0.49    N-S   -0.14
                     1990.030   E-W    0.27    N-S    0.06
                     1990.120   E-W    0.20    N-S    0.01
                     1990.123   E-W    0.22    N-S   -0.09
                     1990.162   E-W    0.32    N-S    0.00
                     1990.150   E-W    0.38    N-S   -0.08
                     1990.159   E-W    0.31    N-S   -0.04
                     1990.309   E-W    0.44    N-S   -0.14
                     1990.416   E-W    0.38    N-S    0.05
                     1990.786   E-W    0.10    N-S   -0.17
                     1990.852   E-W    0.53    N-S    0.01
                     1990.912   E-W    0.23    N-S   -0.02
                     1991.079   E-W    0.56    N-S   -0.14
                     1991.123   E-W    0.56    N-S   -0.23
                     1991.293   E-W    0.60    N-S   -0.31
                     1991.326   E-W    0.67    N-S   -0.41
                     1991.334   E-W    0.67    N-S   -0.41
                     1991.367   E-W    0.70    N-S   -0.40
                     1991.405   E-W    0.60    N-S   -0.43
                     1991.488   E-W    0.62    N-S   -0.42
                     1991.641   E-W    0.59    N-S   -0.48
                     1991.517   E-W    0.60    N-S   -0.42
                     1991.682   E-W    0.69    N-S   -0.48 
                     1991.786   E-W    0.63    N-S   -0.50 
                     1991.791   E-W    0.62    N-S   -0.52 
                     1991.682   E-W    0.69    N-S   -0.48 
                     1991.682   E-W    0.62    N-S   -0.52 
                     1991.851   E-W    0.69    N-S   -0.55 
                     1991.857   E-W    0.73    N-S   -0.62 
                     1991.851   E-W    0.69    N-S   -0.58 
                     1991.884   E-W    0.64    N-S   -0.61 
                     1992.022   E-W    0.67    N-S   -0.71 
                     1992.022   E-W    0.67    N-S   -0.68 
                     1992.197   E-W    0.64    N-S   -0.69 
                     1992.200   E-W    0.58    N-S   -0.77 
                     1992.197   E-W    0.63    N-S   -0.78 
                     1992.246   E-W    0.67    N-S   -0.74 
